
..................TÜRKİYE VE YAKIN ÇEVRESİNDEKİ SON DEPREMLER....................
.....BÖLGESEL DEPREM-TSUNAMİ İZLEME VE DEĞERLENDİRME MERKEZİ HIZLI ÇÖZÜMLERİ.....
......(YAPAY SARSINTI ANALİZİ YAPILMAMIŞTIR) Son 500 deprem listelenmiştir......
                                                        Büyüklük
Tarih      Saat      Enlem(N)  Boylam(E) Derinlik(km)  MD   ML   Mw    Yer                                             Çözüm Niteliği
2021.04.24 03:56:28  38.7565   26.6222        8.7      -.-  1.8  -.-   IZMIR KORFEZI (EGE DENIZI)                        İlksel
2021.04.24 03:27:53  36.3007   28.4875       19.6      -.-  1.5  -.-   AKDENIZ                                           İlksel
2021.04.24 02:57:44  36.3507   27.1247       22.4      -.-  1.5  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.24 02:57:01  37.8673   27.2885        5.9      -.-  1.1  -.-   KUSADASI (AYDIN)                                  İlksel
2021.04.24 02:54:26  40.1065   44.5578        1.3      -.-  2.3  -.-   TURKIYE-ERMENISTAN SINIR BOLGESI                  İlksel
2021.04.24 02:48:58  36.4242   27.1830        5.0      -.-  2.1  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.24 02:47:48  37.9508   27.2673        7.8      -.-  1.8  -.-   ZEYTINKOY-SELCUK (IZMIR)                          İlksel
2021.04.24 02:35:33  37.5770   30.0053        5.0      -.-  2.3  -.-   DUGER-(BURDUR)                                    İlksel
2021.04.24 02:14:12  37.9087   26.9257        5.8      -.-  1.8  -.-   KUSADASI KORFEZI (EGE DENIZI)                     İlksel
2021.04.24 02:05:23  37.9185   27.2017        5.3      -.-  1.9  -.-   KUSADASI KORFEZI (EGE DENIZI)                     İlksel
2021.04.24 01:59:07  37.9320   27.2655        5.0      -.-  1.4  -.-   ZEYTINKOY-SELCUK (IZMIR)                          İlksel
2021.04.24 01:53:03  37.9247   27.2392        5.9      -.-  3.7  3.7   KUSADASI KORFEZI (EGE DENIZI)                     İlksel
2021.04.24 01:49:14  37.9370   27.2378        5.2      -.-  2.3  -.-   KUSADASI KORFEZI (EGE DENIZI)                     İlksel
2021.04.24 01:31:34  36.3272   27.2740       15.4      -.-  1.4  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.24 01:27:34  35.3258   27.6988        9.8      -.-  1.7  -.-   AKDENIZ                                           İlksel
2021.04.24 01:26:33  37.8898   27.2300        9.2      -.-  1.5  -.-   KUSADASI KORFEZI (EGE DENIZI)                     İlksel
2021.04.24 01:24:17  37.9323   27.2482        5.4      -.-  2.5  -.-   KUSADASI KORFEZI (EGE DENIZI)                     İlksel
2021.04.24 01:20:35  36.3277   27.2283       11.5      -.-  1.6  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.24 01:10:03  36.3698   27.2393       10.3      -.-  1.5  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.24 01:05:54  36.4100   27.1765        5.0      -.-  1.7  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.24 00:55:01  37.6015   30.0273        5.0      -.-  1.6  -.-   ASAGI MUSLUMLER-(BURDUR)                          İlksel
2021.04.24 00:30:58  36.2830   28.5138       26.3      -.-  2.0  -.-   AKDENIZ                                           İlksel
2021.04.24 00:16:44  36.3898   27.2252        5.7      -.-  2.2  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.24 00:07:47  36.3487   27.2935       12.0      -.-  1.5  -.-   KOS ADASI (AKDENIZ)                               İlksel
2021.04.23 23:58:37  36.3735   27.2180        5.0      -.-  2.4  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 23:57:13  36.3523   27.3048        8.5      -.-  1.7  -.-   KOS ADASI (AKDENIZ)                               İlksel
2021.04.23 23:17:41  39.0958   28.1245       13.7      -.-  1.6  -.-   HANPASA-AKHISAR (MANISA)                          İlksel
2021.04.23 23:09:56  36.4100   27.1937        5.0      -.-  2.5  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 22:42:31  37.6402   35.6017       15.2      -.-  1.2  -.-   ERGENUSAGI-KOZAN (ADANA)                          İlksel
2021.04.23 22:26:13  39.1540   28.9908        6.1      -.-  2.6  -.-   HACIAHMETOGLU-SIMAV (KUTAHYA)                     İlksel
2021.04.23 22:25:38  39.1792   29.0077       11.3      -.-  1.8  -.-   KARACAOREN-SIMAV (KUTAHYA)                        İlksel
2021.04.23 22:22:25  36.4710   27.0957       10.0      -.-  2.9  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 22:17:06  37.8390   29.5252        1.3      -.-  0.9  -.-   BASCESME-BOZKURT (DENIZLI)                        İlksel
2021.04.23 22:12:48  39.6493   25.9598       10.1      -.-  1.9  -.-   TAVAKLI ACIKLARI-CANAKKALE (EGE DENIZI)           İlksel
2021.04.23 22:03:38  36.4628   27.1208        8.3      -.-  2.3  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 21:59:20  38.9458   31.2367        0.0      -.-  1.2  -.-   BALCAM-EMIRDAG (AFYONKARAHISAR)                   İlksel
2021.04.23 21:48:57  36.7138   28.0522        6.7      -.-  2.4  -.-   BOZBURUN-MARMARIS (MUGLA)                         İlksel
2021.04.23 21:28:26  40.4058   42.3957       18.5      -.-  1.5  -.-   GORESKEN-SENKAYA (ERZURUM)                        İlksel
2021.04.23 21:10:12  36.3627   27.2312       25.0      -.-  2.0  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 21:04:55  36.3528   27.2898        7.1      -.-  1.8  -.-   KOS ADASI (AKDENIZ)                               İlksel
2021.04.23 21:02:29  36.3447   27.2858        4.1      -.-  1.9  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 20:54:40  36.3967   27.1620       17.7      -.-  2.4  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 20:49:34  36.3388   27.2445       54.0      -.-  2.1  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 20:46:29  37.8168   26.8880        6.6      -.-  2.0  -.-   SISAM ADASI (EGE DENIZI)                          İlksel
2021.04.23 20:41:38  36.4447   27.1917        8.0      -.-  1.8  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 20:10:32  37.7577   26.8338       12.1      -.-  3.4  3.3   SISAM ADASI (EGE DENIZI)                          İlksel
2021.04.23 19:55:43  39.1310   28.1142       14.1      -.-  2.8  2.7   SINANDEDE-SINDIRGI (BALIKESIR)                    İlksel
2021.04.23 19:50:14  36.4537   27.2588        5.0      -.-  2.5  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 19:46:49  36.4022   27.1828        2.4      -.-  2.5  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 19:24:55  40.8278   28.5587       17.8      -.-  1.7  -.-   GURPINAR ACIKLARI-ISTANBUL (MARMARA DENIZI)       İlksel
2021.04.23 19:18:57  36.3153   27.1840       18.7      -.-  2.0  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 19:16:56  36.3938   27.2542        4.8      -.-  2.0  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 19:15:29  39.1510   29.0082       12.4      -.-  1.8  -.-   HACIAHMETOGLU-SIMAV (KUTAHYA)                     İlksel
2021.04.23 19:12:11  36.3202   27.2792       10.1      -.-  1.8  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 19:02:37  36.4190   27.1452        5.7      -.-  2.4  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 19:00:27  36.4012   27.2333       24.8      -.-  2.2  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 18:58:08  40.3808   27.6095        9.3      -.-  1.9  -.-   ERDEK KORFEZI (MARMARA DENIZI)                    İlksel
2021.04.23 18:50:19  41.1173   28.9628        0.0      -.-  0.8  -.-   KAGITHANE (ISTANBUL)                              İlksel
2021.04.23 18:48:57  36.4732   27.1610        4.8      -.-  2.0  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 18:39:33  41.0948   28.9577        0.0      -.-  0.7  -.-   KAGITHANE (ISTANBUL)                              İlksel
2021.04.23 18:31:31  36.4468   27.0875       27.2      -.-  2.9  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 18:28:08  36.3502   27.1205       22.1      -.-  2.2  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 18:16:38  35.3938   27.5575       24.2      -.-  2.6  -.-   AKDENIZ                                           İlksel
2021.04.23 18:16:18  36.5550   27.5332        5.0      -.-  2.2  -.-   AKDENIZ                                           İlksel
2021.04.23 18:12:15  36.4203   27.2148       27.3      -.-  2.6  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 18:04:26  35.5525   27.4465       26.9      -.-  3.8  3.8   AKDENIZ                                           İlksel
2021.04.23 17:53:06  36.4128   27.2288       46.6      -.-  2.2  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 17:49:05  36.3637   27.2173       25.2      -.-  2.3  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 17:46:55  39.1637   28.9098       11.9      -.-  1.5  -.-   GUNEY-SIMAV (KUTAHYA)                             İlksel
2021.04.23 17:42:38  36.4090   27.1677       14.7      -.-  2.8  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 17:40:49  36.3538   27.2692        1.7      -.-  2.2  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 17:27:25  36.3840   27.1900       29.6      -.-  2.1  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
