
..................TÜRKİYE VE YAKIN ÇEVRESİNDEKİ SON DEPREMLER....................
.....BÖLGESEL DEPREM-TSUNAMİ İZLEME VE DEĞERLENDİRME MERKEZİ HIZLI ÇÖZÜMLERİ.....
......(YAPAY SARSINTI ANALİZİ YAPILMAMIŞTIR) Son 500 deprem listelenmiştir......
                                                        Büyüklük
Tarih      Saat      Enlem(N)  Boylam(E) Derinlik(km)  MD   ML   Mw    Yer                                             Çözüm Niteliği
2021.04.23 03:36:41  36.3530   27.1288        6.7      -.-  1.6  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 03:32:57  36.3640   27.2535       24.6      -.-  1.6  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 03:21:52  36.3183   27.2355        8.2      -.-  1.5  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 03:20:12  36.3543   27.2762        7.6      -.-  1.5  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 03:12:17  36.3272   27.3278        8.2      -.-  1.6  -.-   KOS ADASI (AKDENIZ)                               İlksel
2021.04.23 03:05:25  37.8450   26.9962        7.8      -.-  1.3  -.-   KUSADASI KORFEZI (EGE DENIZI)                     İlksel
2021.04.23 02:56:34  36.3290   27.2623        3.3      -.-  1.9  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 02:52:21  36.3905   27.1278        3.0      -.-  2.4  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 02:44:24  36.9572   27.7977       24.6      -.-  1.4  -.-   GOKOVA KORFEZI (AKDENIZ)                          İlksel
2021.04.23 02:41:00  36.3455   27.1082       21.6      -.-  1.5  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 02:37:40  39.2905   26.0268       18.0      -.-  1.6  -.-   MIDILLI ADASI (EGE DENIZI)                        İlksel
2021.04.23 02:36:53  36.3163   27.2950        3.2      -.-  1.5  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 02:32:30  36.2867   27.1288       20.2      -.-  1.4  -.-   AKDENIZ                                           İlksel
2021.04.23 02:28:14  36.3035   27.2028        7.0      -.-  1.5  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 02:24:07  37.8542   26.8835        5.6      -.-  1.7  -.-   KUSADASI KORFEZI (EGE DENIZI)                     İlksel
2021.04.23 02:21:21  36.3647   27.1337        5.0      -.-  3.2  3.4   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 02:15:41  36.1017   27.3767        7.4      -.-  1.5  -.-   AKDENIZ                                           İlksel
2021.04.23 02:09:26  39.4710   28.0022        7.9      -.-  1.5  -.-   AKYAR-BIGADIC (BALIKESIR)                         İlksel
2021.04.23 02:00:11  36.4150   27.1465        7.5      -.-  1.9  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 01:59:32  36.3593   27.2335       10.3      -.-  1.9  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 01:49:24  39.7248   44.2917        5.0      -.-  2.9  -.-   YENIDOGAN-ARALIK (IGDIR)                          İlksel
2021.04.23 01:26:16  36.9902   35.5618       10.1      -.-  2.1  -.-   CIHADIYE-SARICAM (ADANA)                          İlksel
2021.04.23 01:21:41  36.3600   27.1328        2.7      -.-  3.2  3.4   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 01:09:48  36.3563   27.1785       15.8      -.-  2.2  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 01:06:04  36.3508   27.0598        5.0      -.-  1.7  -.-   AKDENIZ                                           İlksel
2021.04.23 01:03:35  36.3685   27.2762        9.9      -.-  1.7  -.-   KOS ADASI (AKDENIZ)                               İlksel
2021.04.23 01:00:07  36.3592   27.2403       10.9      -.-  1.6  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 00:58:57  36.3343   27.2565       16.0      -.-  1.6  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 00:56:45  36.3742   27.1177       13.6      -.-  2.4  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 00:55:57  36.3365   27.1187        5.0      -.-  2.3  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 00:48:46  34.3937   23.6842       13.1      -.-  3.1  3.0   GIRIT ADASI (AKDENIZ)                             İlksel
2021.04.23 00:31:48  36.3178   27.2778        3.8      -.-  1.9  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 00:20:25  36.4017   27.1168        6.8      -.-  2.1  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 00:04:52  36.3738   27.2340        5.4      -.-  1.7  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.22 23:47:22  36.3512   27.2175       25.2      -.-  1.9  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.22 23:43:08  36.2517   27.3277       56.8      -.-  1.7  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.22 23:42:03  36.4105   27.1118       18.7      -.-  1.7  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.22 23:39:17  36.4250   27.1150        5.0      -.-  2.5  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.22 23:34:19  36.3965   27.2468        5.0      -.-  1.7  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.22 23:20:35  36.3578   27.2632       17.8      -.-  1.9  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.22 23:17:41  36.3082   27.1827       24.5      -.-  1.7  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.22 23:15:40  40.8173   27.7990        6.5      -.-  1.9  -.-   MARMARA DENIZI                                    İlksel
2021.04.22 23:15:07  37.9042   26.9383        9.9      -.-  1.4  -.-   KUSADASI KORFEZI (EGE DENIZI)                     İlksel
2021.04.22 23:12:10  36.3930   27.2097        1.5      -.-  2.1  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.22 23:02:46  39.0602   27.4818        7.7      -.-  1.2  -.-   KALEMKOY-KINIK (IZMIR)                            İlksel
2021.04.22 22:55:54  36.3442   27.2128        9.0      -.-  1.8  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.22 22:53:17  36.3137   27.2663        7.0      -.-  1.9  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.22 22:49:57  36.4240   27.0583       10.7      -.-  4.1  4.3   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.22 22:44:42  35.2827   27.1595        1.4      -.-  2.6  -.-   AKDENIZ                                           İlksel
2021.04.22 22:25:43  39.3750   27.7913        6.7      -.-  1.6  -.-   YUKARIKARACAM-SAVASTEPE (BALIKESIR)               İlksel
2021.04.22 21:37:38  39.3970   27.7788        7.1      -.-  1.9  -.-   YUKARIKARACAM-SAVASTEPE (BALIKESIR)               İlksel
2021.04.22 21:08:48  38.1462   27.6033        1.5      -.-  1.7  -.-   MAHMUTLAR-TIRE (IZMIR)                            İlksel
2021.04.22 20:27:13  39.8815   28.6612        5.0      -.-  1.5  -.-   KARAKOY-MUSTAFAKEMALPASA (BURSA)                  İlksel
2021.04.22 20:23:27  36.4052   27.1135        4.4      -.-  2.2  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.22 20:17:47  36.3842   27.1750        2.0      -.-  2.9  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.22 20:16:40  36.4485   27.0070        8.7      -.-  2.3  -.-   AKDENIZ                                           İlksel
2021.04.22 20:13:59  36.3963   27.1818        5.0      -.-  3.2  3.4   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.22 20:04:32  36.3987   27.1033        1.7      -.-  3.3  3.5   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.22 19:57:28  39.2978   26.0910        8.1      -.-  2.0  -.-   MIDILLI ADASI (EGE DENIZI)                        İlksel
2021.04.22 19:31:17  36.3680   27.1548       11.4      -.-  2.3  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.22 19:00:56  36.4243   27.0933        5.0      -.-  3.7  3.9   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.22 18:59:02  36.4063   27.1040       13.7      -.-  3.5  3.6   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.22 18:41:33  36.4645   27.0502       42.9      -.-  2.0  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.22 18:28:42  36.3580   27.2892       31.3      -.-  2.1  -.-   KOS ADASI (AKDENIZ)                               İlksel
2021.04.22 17:33:52  39.7618   30.1800        0.0      -.-  1.1  -.-   DUTLUCA-INONU (ESKISEHIR)                         İlksel
2021.04.22 17:01:18  40.2183   30.7358       11.3      -.-  0.9  -.-   KUYUPINAR-GOYNUK (BOLU)                           İlksel
2021.04.22 16:58:45  40.2320   30.7920       10.6      -.-  1.7  -.-   HIMMETOGLU-GOYNUK (BOLU)                          İlksel
2021.04.22 16:24:51  36.4687   27.1967        5.5      -.-  2.1  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.22 16:20:29  36.3507   27.2688        9.4      -.-  2.3  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.22 16:01:54  38.3188   38.8980        4.1      -.-  2.1  -.-   UZUNHUSEYIN-KALE (MALATYA)                        İlksel
2021.04.22 15:28:33  39.4010   31.5493        0.0      -.-  1.5  -.-   YUKARIKEPEN-SIVRIHISAR (ESKISEHIR)                İlksel
2021.04.22 14:36:44  38.2760   38.7552        5.4      -.-  2.2  -.-   BALPINARI-PUTURGE (MALATYA)                       İlksel
2021.04.22 14:02:00  36.2123   30.5272       18.4      -.-  1.9  -.-   MAVIKENT ACIKLARI-ANTALYA (AKDENIZ)               İlksel
2021.04.22 13:22:06  39.9003   33.2258        0.0      -.-  1.5  -.-   ELMADAG (ANKARA)                                  İlksel
2021.04.22 13:09:20  36.3775   27.2228        8.4      -.-  2.1  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.22 13:08:10  37.8757   29.1373        0.0      -.-  1.4  -.-   KUCUKDERE-(DENIZLI)                               İlksel
2021.04.22 12:40:20  37.8600   27.0103        2.3      -.-  2.7  -.-   KUSADASI KORFEZI (EGE DENIZI)                     İlksel
2021.04.22 12:19:07  36.2400   33.6887        0.0      -.-  1.0  -.-   ISIKLI-SILIFKE (MERSIN)                           İlksel
2021.04.22 12:18:20  40.6255   26.5317        5.0      -.-  1.3  -.-   MECIDIYE-KESAN (EDIRNE)                           İlksel
2021.04.22 12:09:39  39.8772   26.2702        1.6      -.-  0.9  -.-   PINARBASI-EZINE (CANAKKALE)                       İlksel
2021.04.22 11:52:55  39.1168   28.1132        3.2      -.-  2.4  -.-   SAGRAKCI-AKHISAR (MANISA)                         İlksel
2021.04.22 11:37:30  39.8880   28.8523        0.0      -.-  1.2  -.-   DUNDAR-ORHANELI (BURSA)                           İlksel
2021.04.22 10:52:43  37.9215   43.8117       26.4      -.-  2.6  -.-   AYDEMIR-BASKALE (VAN)                             İlksel
2021.04.22 10:48:24  36.2983   27.1653       10.3      -.-  1.9  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.22 10:28:21  39.9140   28.8315        0.0      -.-  1.5  -.-   DUNDAR-ORHANELI (BURSA)                           İlksel
2021.04.22 10:23:27  38.5930   33.8287        2.4      -.-  2.3  -.-   SARAYHAN-(AKSARAY)                                İlksel
2021.04.22 10:01:35  39.1253   28.1643        3.6      -.-  1.4  -.-   KINIK-SINDIRGI (BALIKESIR)                        İlksel
2021.04.22 09:40:32  36.3570   27.3105       22.0      -.-  2.4  -.-   KOS ADASI (AKDENIZ)                               İlksel
2021.04.22 09:35:38  39.4403   24.2022        3.5      -.-  3.0  3.0   EGE DENIZI                                        İlksel
2021.04.22 09:26:54  35.0862   25.1852        2.4      -.-  2.8  -.-   GIRIT ADASI (AKDENIZ)                             İlksel
2021.04.22 09:10:51  36.4273   27.2123        7.4      -.-  2.3  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.22 09:09:36  39.3563   25.8602       19.1      -.-  1.8  -.-   EGE DENIZI                                        İlksel
2021.04.22 09:00:57  36.3930   27.2930        5.0      -.-  2.1  -.-   KOS ADASI (AKDENIZ)                               İlksel
2021.04.22 08:37:42  40.1530   29.9688        0.0      -.-  1.6  -.-   BILECIK (BILECIK)                                 İlksel
2021.04.22 08:28:21  36.4238   27.2198        7.2      -.-  2.8  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.22 08:26:19  36.3573   27.2963        9.1      -.-  2.1  -.-   KOS ADASI (AKDENIZ)                               İlksel
2021.04.22 07:55:48  38.5713   27.2012        1.5      -.-  1.6  -.-   ALANICI-MENEMEN (IZMIR)                           İlksel
2021.04.22 07:41:55  36.4085   27.1535        5.0      -.-  2.8  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.22 07:37:01  39.1265   28.1018        5.8      -.-  2.5  -.-   ISACA-AKHISAR (MANISA)                            İlksel
2021.04.22 07:25:16  38.9367   42.2512       28.0      -.-  1.7  -.-   GUNYURDU-BULANIK (MUS)                            İlksel
2021.04.22 07:19:51  36.3342   27.2130       15.4      -.-  2.0  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.22 07:15:14  36.4322   27.3055       25.2      -.-  1.8  -.-   KOS ADASI (AKDENIZ)                               İlksel
2021.04.22 07:09:59  36.3733   27.2292       10.4      -.-  1.9  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.22 07:09:00  36.4635   27.1225        8.6      -.-  1.9  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.22 07:08:08  39.1358   28.1450        2.8      -.-  2.3  -.-   SINANDEDE-SINDIRGI (BALIKESIR)                    İlksel
2021.04.22 07:04:38  39.1260   28.1108        5.0      -.-  2.8  -.-   SINANDEDE-SINDIRGI (BALIKESIR)                    İlksel
2021.04.22 07:00:06  36.3978   27.2725        7.8      -.-  1.6  -.-   KOS ADASI (AKDENIZ)                               İlksel
2021.04.22 06:55:22  36.4322   27.2643        6.7      -.-  1.8  -.-   KOS ADASI (AKDENIZ)                               İlksel
2021.04.22 06:43:48  39.1087   28.1660        8.2      -.-  1.7  -.-   KINIK-SINDIRGI (BALIKESIR)                        İlksel
2021.04.22 06:37:54  36.5053   27.0575        6.9      -.-  2.1  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.22 06:31:31  36.4095   27.2053        5.0      -.-  2.0  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.22 06:20:02  37.1990   35.3923       20.5      -.-  1.4  -.-   EGECIUSAGI-SARICAM (ADANA)                        İlksel
2021.04.22 05:54:21  36.3437   27.2062       14.4      -.-  2.0  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.22 05:41:15  38.0688   27.1932       12.7      -.-  1.2  -.-   CAKALTEPE-MENDERES (IZMIR)                        İlksel
2021.04.22 05:36:43  39.4035   27.7840        5.0      -.-  2.6  -.-   KARABEYLER-(BALIKESIR)                            İlksel
2021.04.22 05:29:50  41.6432   32.4993        4.0      -.-  2.2  -.-   KAYADIBI-(BARTIN)                                 İlksel
2021.04.22 05:23:23  36.4492   27.1820        8.5      -.-  1.8  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.22 05:17:01  36.4585   27.1058        5.5      -.-  3.3  3.3   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.22 05:07:26  36.4105   27.1572        7.1      -.-  1.8  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.22 04:46:10  37.7740   36.2572        8.5      -.-  0.9  -.-   CIGSAR-ANDIRIN (KAHRAMANMARAS)                    İlksel
2021.04.22 04:42:55  36.4267   27.1213       10.9      -.-  1.8  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.22 04:27:07  36.0363   27.1252        8.7      -.-  1.9  -.-   AKDENIZ                                           İlksel
2021.04.22 04:25:42  36.3347   27.1892        5.0      -.-  1.8  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.22 04:09:51  39.0820   28.0223       10.6      -.-  1.4  -.-   SAGRAKCI-AKHISAR (MANISA)                         İlksel
2021.04.22 03:47:08  36.4393   27.1507        5.0      -.-  2.7  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.22 03:41:23  36.3940   27.1977        7.4      -.-  1.9  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.22 03:40:43  36.3892   27.2507       12.0      -.-  2.1  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.22 03:09:11  36.3358   27.2630        7.8      -.-  2.1  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.22 03:06:13  36.4287   27.1307        5.0      -.-  3.9  4.0   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.22 02:51:08  39.0798   28.1295       18.7      -.-  1.8  -.-   HANPASA-AKHISAR (MANISA)                          İlksel
2021.04.22 02:51:03  36.4645   27.1315        9.8      -.-  1.8  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.22 02:47:11  37.8205   27.0833        2.7      -.-  1.4  -.-   KUSADASI KORFEZI (EGE DENIZI)                     İlksel
2021.04.22 02:35:31  37.8878   27.2368        5.6      -.-  1.8  -.-   KUSADASI KORFEZI (EGE DENIZI)                     İlksel
2021.04.22 02:30:36  36.4508   27.1148        1.7      -.-  2.1  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.22 02:27:49  40.7782   27.5162       13.9      -.-  1.8  -.-   YENIKOY ACIKLARI-TEKIRDAG (MARMARA DENIZI)        İlksel
2021.04.22 02:12:45  36.4303   27.0887        5.2      -.-  1.7  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.22 02:12:39  38.4530   26.7660       17.4      -.-  1.4  -.-   IZMIR KORFEZI (EGE DENIZI)                        İlksel
2021.04.22 01:49:23  36.2702   27.2640       12.8      -.-  1.6  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.22 01:39:28  34.7107   25.3582       20.0      -.-  3.1  -.-   GIRIT ADASI (AKDENIZ)                             İlksel
2021.04.22 01:38:19  36.3688   27.2108        1.2      -.-  2.2  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.22 01:17:10  39.0953   28.1853        5.4      -.-  1.4  -.-   KINIK-SINDIRGI (BALIKESIR)                        İlksel
2021.04.22 01:09:07  37.8600   26.8937        8.8      -.-  1.6  -.-   KUSADASI KORFEZI (EGE DENIZI)                     İlksel
2021.04.22 01:06:18  36.3840   27.1550        5.0      -.-  1.7  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.22 01:06:11  37.8660   26.2313       10.4      -.-  1.7  -.-   EGE DENIZI                                        İlksel
2021.04.22 01:02:59  37.9583   25.8615       10.8      -.-  2.0  -.-   EGE DENIZI                                        İlksel
2021.04.22 00:48:42  35.6155   26.9427        7.8      -.-  2.1  -.-   AKDENIZ                                           İlksel
2021.04.22 00:44:12  36.4370   27.2217       19.8      -.-  1.8  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.22 00:32:11  36.4337   27.1518        6.1      -.-  1.7  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.22 00:26:34  39.1357   28.0590        9.6      -.-  1.3  -.-   ISACA-AKHISAR (MANISA)                            İlksel
2021.04.22 00:17:42  39.1307   28.1125       12.4      -.-  4.2  3.9   SINANDEDE-SINDIRGI (BALIKESIR)                    İlksel
2021.04.22 00:01:42  38.7423   38.1715        5.2      -.-  2.2  -.-   KISLA-ARGUVAN (MALATYA)                           İlksel
2021.04.21 23:47:07  39.3993   27.4137        9.6      -.-  1.8  -.-   TASDIBI-IVRINDI (BALIKESIR)                       İlksel
2021.04.21 23:42:05  39.7157   25.7737        7.9      -.-  1.6  -.-   EGE DENIZI                                        İlksel
2021.04.21 23:30:08  40.7462   28.7563       13.0      -.-  1.4  -.-   MARMARA DENIZI                                    İlksel
2021.04.21 23:22:33  38.7062   43.2233        5.0      -.-  3.0  3.2   AGARTI-(VAN)                                      İlksel
2021.04.21 22:58:19  38.7780   26.5377        7.0      -.-  1.6  -.-   EGE DENIZI                                        İlksel
2021.04.21 22:32:54  39.0155   26.1095       20.0      -.-  1.5  -.-   MIDILLI ADASI (EGE DENIZI)                        İlksel
2021.04.21 22:28:04  37.9048   27.1567        7.0      -.-  1.9  -.-   KUSADASI KORFEZI (EGE DENIZI)                     İlksel
2021.04.21 22:06:41  38.1068   27.2292        8.1      -.-  1.5  -.-   KARAKUYU-MENDERES (IZMIR)                         İlksel
2021.04.21 22:01:18  36.3685   27.1890       22.9      -.-  1.9  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.21 22:00:31  40.5160   34.1883        7.7      -.-  1.9  -.-   ESKIALIBEY-BAYAT (CORUM)                          İlksel
2021.04.21 21:58:26  36.3968   27.1092       15.8      -.-  1.9  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.21 21:36:16  36.3932   27.2085       13.7      -.-  1.8  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.21 21:25:32  36.4810   27.0995        7.9      -.-  1.8  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.21 21:16:16  36.3863   27.2630        5.0      -.-  1.9  -.-   KOS ADASI (AKDENIZ)                               İlksel
2021.04.21 21:07:42  36.4573   27.1227        5.0      -.-  2.1  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.21 21:00:36  38.6287   42.9998        5.0      -.-  1.5  -.-   VAN GOLU                                          İlksel
2021.04.21 20:39:14  39.6243   44.6922        5.0      -.-  2.6  2.7   TURKIYE-IRAN SINIR BOLGESI                        İlksel
2021.04.21 20:13:33  36.3965   27.1617        7.8      -.-  2.1  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.21 19:58:03  40.7818   31.6207        0.0      -.-  1.5  -.-   FASIL-(BOLU)                                      İlksel
2021.04.21 19:24:41  36.4607   27.1038        4.8      -.-  2.2  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.21 19:20:37  39.4285   31.6300        0.0      -.-  1.6  -.-   TEKOREN-SIVRIHISAR (ESKISEHIR)                    İlksel
2021.04.21 19:07:35  36.4432   27.1340       10.9      -.-  3.9  4.0   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.21 19:04:47  37.7682   36.2752        7.4      -.-  1.6  -.-   CIGSAR-ANDIRIN (KAHRAMANMARAS)                    İlksel
2021.04.21 19:02:23  36.4452   27.1375        5.0      -.-  2.4  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.21 18:59:06  36.4138   27.1813       12.9      -.-  2.3  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.21 18:15:21  36.4180   27.1598        7.8      -.-  2.5  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.21 17:53:10  40.9625   31.2133        5.0      -.-  1.8  -.-   YAYLA-(DUZCE)                                     İlksel
2021.04.21 17:51:24  36.3780   27.1333        5.4      -.-  2.4  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.21 17:33:00  39.1400   28.0205       11.7      -.-  1.5  -.-   ISACA-AKHISAR (MANISA)                            İlksel
2021.04.21 17:29:20  39.5102   26.2128        9.1      -.-  1.5  -.-   BALABANLI-AYVACIK (CANAKKALE)                     İlksel
2021.04.21 17:19:37  39.2892   35.0240        8.8      -.-  1.8  -.-   YAMACLI-BOGAZLIYAN (YOZGAT)                       İlksel
2021.04.21 16:59:24  37.8828   27.0333        5.6      -.-  1.9  -.-   KUSADASI KORFEZI (EGE DENIZI)                     İlksel
2021.04.21 16:51:52  37.7703   36.2980       15.2      -.-  1.6  -.-   CIGSAR-ANDIRIN (KAHRAMANMARAS)                    İlksel
2021.04.21 16:04:41  40.9823   31.4427        3.7      -.-  1.5  -.-   HEBELER-YIGILCA (DUZCE)                           İlksel
2021.04.21 16:00:07  38.4075   25.5408        7.1      -.-  2.2  -.-   EGE DENIZI                                        REVIZE01   (2021.04.21 16:00:07)
2021.04.21 15:52:28  38.2805   31.0872        9.4      -.-  1.7  -.-   KURUSARI-YALVAC (ISPARTA)                         İlksel
2021.04.21 15:46:48  40.5102   28.8600       12.7      -.-  1.7  -.-   MECIDIYE-ARMUTLU (YALOVA)                         İlksel
2021.04.21 15:45:08  38.2722   38.8212        9.6      -.-  3.4  3.4   AKTARLI-PUTURGE (MALATYA)                         İlksel
2021.04.21 15:29:07  36.4158   27.1553       10.0      -.-  2.2  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.21 15:16:55  38.4747   39.2327        3.3      -.-  1.7  -.-   ALINCIK-SIVRICE (ELAZIG)                          İlksel
2021.04.21 15:16:34  40.3615   27.6165       10.4      -.-  1.7  -.-   ERDEK KORFEZI (MARMARA DENIZI)                    İlksel
2021.04.21 14:51:54  38.6150   27.1852        7.8      -.-  1.7  -.-   AYVACIK-MENEMEN (IZMIR)                           İlksel
2021.04.21 14:47:28  38.2805   28.6477        8.5      -.-  1.0  -.-   HACIALILER-ALASEHIR (MANISA)                      İlksel
2021.04.21 14:41:29  41.3950   32.8467       11.0      -.-  1.7  -.-   YAGLICA-EFLANI (KARABUK)                          İlksel
2021.04.21 14:40:03  36.4772   34.3430       13.4      -.-  1.3  -.-   ERDEMLI ACIKLARI-MERSIN (AKDENIZ)                 İlksel
2021.04.21 14:37:34  36.3563   27.3222       24.1      -.-  2.0  -.-   KOS ADASI (AKDENIZ)                               İlksel
2021.04.21 13:56:11  39.0182   26.1220       14.2      -.-  2.0  -.-   MIDILLI ADASI (EGE DENIZI)                        İlksel
2021.04.21 13:21:28  38.5958   27.1577        5.3      -.-  1.7  -.-   GOKTEPE-MENEMEN (IZMIR)                           İlksel
2021.04.21 13:21:18  40.9012   31.9113        0.0      -.-  1.6  -.-   ELEMEN-MENGEN (BOLU)                              İlksel
2021.04.21 13:13:18  38.0160   26.5367        5.0      -.-  1.9  -.-   EGE DENIZI                                        İlksel
2021.04.21 13:01:57  37.2708   31.8812        0.0      -.-  2.0  -.-   MADENLI-SEYDISEHIR (KONYA)                        İlksel
2021.04.21 12:54:30  40.8055   42.3087        4.4      -.-  2.2  -.-   INCECAY-SENKAYA (ERZURUM)                         İlksel
2021.04.21 12:49:50  37.9678   38.0395       13.8      -.-  1.9  -.-   RESADIYE-DOGANSEHIR (MALATYA)                     İlksel
2021.04.21 12:29:38  37.2270   28.1915        0.0      -.-  1.3  -.-   PASAPINARI-(MUGLA)                                İlksel
2021.04.21 12:18:56  38.2312   26.6802        5.0      -.-  1.6  -.-   DEMIRCILI-URLA (IZMIR)                            İlksel
2021.04.21 12:07:47  39.1383   28.1203        4.3      -.-  1.6  -.-   SINANDEDE-SINDIRGI (BALIKESIR)                    İlksel
2021.04.21 11:59:46  38.5975   39.3935       14.3      -.-  2.0  -.-   YENIKAPI-(ELAZIG)                                 İlksel
2021.04.21 11:43:52  37.2332   37.1668        0.0      -.-  1.3  -.-   ESKISARKAYA-SEHITKAMIL (GAZIANTEP)                İlksel
2021.04.21 11:30:44  36.3537   27.3042       25.9      -.-  1.8  -.-   KOS ADASI (AKDENIZ)                               İlksel
2021.04.21 11:15:36  38.8812   31.1110        8.3      -.-  1.2  -.-   KEMERKAYA-BOLVADIN (AFYONKARAHISAR)               İlksel
